SYMBOL_NAME,Time,ASK_PRICE,ASK_SIZE,BID_PRICE,BID_SIZE
MILLBURN::::CL.NY.J.2025,2025-03-02T18:05:00.000000000-0500,70.04,1,70.03,1
MILLBURN::::CL.NY.J.2025,2025-03-02T18:06:00.000000000-0500,70.08,9,70.06,1
MILLBURN::::CL.NY.J.2025,2025-03-02T18:07:00.000000000-0500,70.08,9,70.06,2
MILLBURN::::CL.NY.J.2025,2025-03-02T18:08:00.000000000-0500,70.14,7,70.12,7
MILLBURN::::CL.NY.J.2025,2025-03-02T18:09:00.000000000-0500,70.13,3,70.11,2
MILLBURN::::CL.NY.J.2025,2025-03-02T18:10:00.000000000-0500,70.2,5,70.19,2
MILLBURN::::CL.NY.J.2025,2025-03-02T18:11:00.000000000-0500,70.14,1,70.13,5
MILLBURN::::CL.NY.J.2025,2025-03-02T18:12:00.000000000-0500,70.2,1,70.19,2
MILLBURN::::CL.NY.J.2025,2025-03-02T18:13:00.000000000-0500,70.22,3,70.2,6
MILLBURN::::CL.NY.J.2025,2025-03-02T18:14:00.000000000-0500,70.24,8,70.22,7
MILLBURN::::CL.NY.J.2025,2025-03-02T18:15:00.000000000-0500,70.23,3,70.22,4
MILLBURN::::CL.NY.J.2025,2025-03-02T18:16:00.000000000-0500,70.22,3,70.2,6
MILLBURN::::CL.NY.J.2025,2025-03-02T18:17:00.000000000-0500,70.18,5,70.17,4
MILLBURN::::CL.NY.J.2025,2025-03-02T18:18:00.000000000-0500,70.2,2,70.19,4
MILLBURN::::CL.NY.J.2025,2025-03-02T18:19:00.000000000-0500,70.21,4,70.2,2
MILLBURN::::CL.NY.J.2025,2025-03-02T18:20:00.000000000-0500,70.2,23,70.18,7
MILLBURN::::CL.NY.J.2025,2025-03-02T18:21:00.000000000-0500,70.17,4,70.16,2
MILLBURN::::CL.NY.J.2025,2025-03-02T18:22:00.000000000-0500,70.17,4,70.16,5
MILLBURN::::CL.NY.J.2025,2025-03-02T18:23:00.000000000-0500,70.16,10,70.15,2
MILLBURN::::CL.NY.J.2025,2025-03-02T18:24:00.000000000-0500,70.16,10,70.15,2
MILLBURN::::CL.NY.J.2025,2025-03-02T18:25:00.000000000-0500,70.15,3,70.14,5
